date,language,count
2012-03-19,coffeescript,5931
2012-03-26,coffeescript,5733
2012-04-02,coffeescript,5802
2012-04-09,coffeescript,7083
2012-04-16,coffeescript,6687
2012-04-23,coffeescript,7419
2012-04-30,coffeescript,7398
2012-05-07,coffeescript,6600
2012-05-14,coffeescript,8376
2012-05-21,coffeescript,6675
2012-05-28,coffeescript,7779
2012-06-04,coffeescript,7755
2012-06-11,coffeescript,7680
2012-06-18,coffeescript,6148
2012-06-25,coffeescript,5286
2012-07-02,coffeescript,5794
2012-07-09,coffeescript,5954
2012-07-16,coffeescript,5856
2012-07-23,coffeescript,5096
2012-07-30,coffeescript,4706
2012-08-06,coffeescript,4806
2012-08-13,coffeescript,5140
2012-08-20,coffeescript,5602
2012-08-27,coffeescript,11076
2012-09-03,coffeescript,10386
2012-09-10,coffeescript,4920
2012-09-17,coffeescript,4096
2012-09-24,coffeescript,2353
2012-10-01,coffeescript,2888
2012-10-08,coffeescript,2821
2012-10-15,coffeescript,2971
2012-10-22,coffeescript,2803
2012-10-29,coffeescript,2944
2012-11-05,coffeescript,2904
2012-11-12,coffeescript,3045
2012-11-19,coffeescript,3033
2012-11-26,coffeescript,2901
2012-12-03,coffeescript,3408
2012-12-10,coffeescript,3297
2012-12-17,coffeescript,3623
2012-12-24,coffeescript,3039
2012-12-31,coffeescript,2377
2013-01-07,coffeescript,3394
2013-01-14,coffeescript,3801
2013-01-21,coffeescript,3258
2013-01-28,coffeescript,2989
2013-02-04,coffeescript,3052
2013-02-11,coffeescript,3165
2013-02-18,coffeescript,3098
2013-02-25,coffeescript,4630
2013-03-04,coffeescript,4565
2013-03-11,coffeescript,5169
2013-03-18,coffeescript,4672
2013-03-25,coffeescript,5213
2013-04-01,coffeescript,5202
2013-04-08,coffeescript,5015
2013-04-15,coffeescript,4978
2013-04-22,coffeescript,4357
2013-04-29,coffeescript,5118
2013-05-06,coffeescript,4592
2013-05-13,coffeescript,5436
2013-05-20,coffeescript,4832
2013-05-27,coffeescript,5026
2013-06-03,coffeescript,5394
2013-06-10,coffeescript,5082
2013-06-17,coffeescript,5340
2013-06-24,coffeescript,5137
2013-07-01,coffeescript,4716
2013-07-08,coffeescript,5072
2013-07-15,coffeescript,5097
2013-07-22,coffeescript,5537
2013-07-29,coffeescript,5432
2013-08-05,coffeescript,5169
2013-08-12,coffeescript,5112
2013-08-19,coffeescript,4793
2013-08-26,coffeescript,4924
2013-09-02,coffeescript,5284
2013-09-09,coffeescript,3733
2013-09-16,coffeescript,5526
2013-09-23,coffeescript,5186
2013-09-30,coffeescript,4744
2013-10-07,coffeescript,5002
