months,repository_language,lang_count
2008-03,Erlang,14
2008-04,Erlang,3
2008-05,Erlang,4
2008-06,Erlang,5
2008-07,Erlang,5
2008-08,Erlang,43
2008-09,Erlang,22
2008-10,Erlang,107
2008-11,Erlang,11
2008-12,Erlang,37
2009-01,Erlang,14
2009-02,Erlang,33
2009-03,Erlang,80
2009-04,Erlang,97
2009-05,Erlang,62
2009-06,Erlang,52
2009-07,Erlang,134
2009-08,Erlang,71
2009-09,Erlang,49
2009-10,Erlang,71
2009-11,Erlang,67
2009-12,Erlang,128
2010-01,Erlang,142
2010-02,Erlang,106
2010-03,Erlang,299
2010-04,Erlang,88
2010-05,Erlang,89
2010-06,Erlang,88
2010-07,Erlang,93
2010-08,Erlang,109
2010-09,Erlang,205
2010-10,Erlang,166
2010-11,Erlang,201
2010-12,Erlang,203
2011-01,Erlang,195
2011-02,Erlang,282
2011-03,Erlang,325
2011-04,Erlang,669
2011-05,Erlang,281
2011-06,Erlang,384
2011-07,Erlang,344
2011-08,Erlang,479
2011-09,Erlang,437
2011-10,Erlang,669
2011-11,Erlang,606
2011-12,Erlang,1030
2012-01,Erlang,931
2012-02,Erlang,1787
2012-03,Erlang,3762
2012-04,Erlang,3897
2012-05,Erlang,4056
2012-06,Erlang,3105
2012-07,Erlang,3333
2012-08,Erlang,2614
2012-09,Erlang,1003
2012-10,Erlang,1410
2012-11,Erlang,1599
2012-12,Erlang,1607
2013-01,Erlang,1605
2013-02,Erlang,1529
2013-03,Erlang,2159
2013-04,Erlang,1953
2013-05,Erlang,1470
2013-06,Erlang,1557
2013-07,Erlang,1511
2013-08,Erlang,1501
2013-09,Erlang,1087
